ConsumoMaterial;CodPais
ConsumoMaterial;Dealer
ConsumoMaterial;Tda
ConsumoMaterial;ConsumoNo
ConsumoPedido;CodPais
ConsumoPedido;Dealer
ConsumoPedido;Tda
ConsumoPedido;PedidoNo
ConsumoPedido;Bodega
ConsumoPedido;Codigo
ConsumoPedido;Componente
Contacto;CodPais
Contacto;Dealer
Contacto;ClienteNo
Contacto;Contacto
ContaProd;CodPais
ContaProd;Dealer
ContaProd;TipoGasto
Contingencia;CodPais
Contingencia;Dealer
Contingencia;Tda
Contingencia;Id
Contrato;CodPais
Contrato;Dealer
Contrato;Tda
Contrato;ContratoNo
ContratoCafe;CodPais
ContratoCafe;Dealer
ContratoCafe;idCosecha
ContratoCafe;idContratoCafe
ContratoEmbarque;CodPais
ContratoEmbarque;Dealer
ContratoEmbarque;Correlativo
ContratoEmbarque;NoContrato
ContratosCliente;CodPais
ContratosCliente;Dealer
ContratosCliente;ClienteNo
ContratosCliente;ContratoId
ContratoTrabajo;CodPais
ContratoTrabajo;Dealer
ContratoTrabajo;Correlativo
ContratoVenta;CodPais
ContratoVenta;Dealer
ContratoVenta;idCosecha
ContratoVenta;idContratoCafe
Contribuyente;CodPais
Contribuyente;NRC
ControlBodegaHerraje;CodPais
ControlBodegaHerraje;Dealer
ControlBodegaHerraje;Tda
ControlBodegaHerraje;PedidoNo
ControlBodegaHerraje;ID
ControlHerraje;CodPais
ControlHerraje;Dealer
ControlHerraje;Tda
ControlHerraje;PedidoNo
ControlHerraje;ID
ControlMdco;CodPais
ControlMdco;Dealer
ControlMdco;Empleado
ControlMdco;Fecha
ControlMdco;Medico
ControlPosteo;CodPais
ControlPosteo;Dealer
ControlProduccion;CodPais
ControlProduccion;Dealer
ControlProduccion;Estilo
ControlProduccion;Corte
ControlProduccion;Bulto
ControlProduccion;Operacion
ControlProduccion;UnProducida
ControlSubsidio;CodPais
ControlSubsidio;Dealer
ControlSubsidio;Empleado
ControlSubsidio;Del
ControlSubsidio;Tipo
Conversion;CodPais
Conversion;Dealer
Conversion;Tda
Conversion;ConversionNo
ConversionSFA;CodPais
ConversionSFA;Codigo
ConversionTemp;CodPais
ConversionTemp;Dealer
ConversionTemp;Tda
ConversionTemp;ConversionNo
ConversionTemporal;CodPais
ConversionTemporal;Dealer
ConversionTemporal;Tda
ConversionTemporal;ConversionNo
Cooperativa;CodPais
Cooperativa;Dealer
Cooperativa;Id
Coordinador;CodPais
Coordinador;Coordinador
CorrAF;CodPais
CorrAF;Dealer
CorrAF;Clase
CorrelativoPBS;IdTrans
Correo;EncabezadoID
CorreoConfig;Codigo
CorreoPuerto;EType
CorreoPuerto;ESecurity
CorreoPuerto;EPort
CorreoUsuario;CodPais
CorreoUsuario;Dealer
CorreoUsuario;Usuario
CorrTerminal;CodPais
CorrTerminal;Dealer
CorrTerminal;Tda
CorrTerminal;Terminal
CorrTerminal;FechaEntrega
CorrTerminal;TipoDoc
CorrUsuario;CodPais
CorrUsuario;Dealer
CorrUsuario;Tda
CorrUsuario;Usuario
CorrUsuario;FechaEntrega
CorrUsuario;TipoDoc
CorteCafeteria;CodPais
CorteCafeteria;Dealer
CorteCafeteria;Tda
CorteCafeteria;Cajero
CorteCafeteria;Fecha
CorteCafeteria;Tiempo
CorteCaja;CodPais
CorteCaja;Dealer
CorteCaja;Tda
CorteCaja;Cajero
CorteCaja;Fecha
CorteMensualServ;CodPais
CorteMensualServ;Dealer
CorteMensualServ;Fecha
CorteMensualServ;OT
Cosecha;CodPais
Cosecha;Dealer
Cosecha;idCosecha
Coseguro;CodPais
Coseguro;Codigo
CostosIniciales;CodPais
CostosIniciales;Dealer
CostosIniciales;Tda
CostosIniciales;Codigo
Cotizacion;CodPais
Cotizacion;Dealer
Cotizacion;Tda
Cotizacion;CotizacionNo
CotizacionRecib;CodPais
CotizacionRecib;Dealer
CotizacionRecib;Tda
CotizacionRecib;Tipo
CotizacionRecib;Correlativo
CotizacionServicio;CodPais
CotizacionServicio;Dealer
CotizacionServicio;Tda
CotizacionServicio;Documento
CotizacionServicio;Numero
CotizacionServicio;ItemNo
CotizacionServicio;Codigo
Creditos;Codigo
CtaRetDesc;CodPais
CtaRetDesc;Dealer
CtaRetDesc;Tipo
CtaRetDesc;Cuenta
Ctas_Bloq;CodPais
Ctas_Bloq;Dealer
Ctas_Bloq;Cuenta
Ctas_Bloq;Tipo
CtaVtaTipoCliente;CodPais
CtaVtaTipoCliente;Dealer
CtaVtaTipoCliente;Tda
CtaVtaTipoCliente;Tipo
CuadreDiario;Codigo
CuadreDiario;Descripcion
CuadreDiario;Total
CuadreDiario;Cantidad
CuadreDiario;VM
CuadreDiario;CM
CuadreDiario;DFM
CuadreDiario;DFC
CuadreDiario;Orden
CuadreDiario;Fecha
Cuentas;Codigo
CuentasBienes;CodPais
CuentasBienes;Dealer
CuentasBienes;Codigo
CuentasCompras;CodPais
CuentasCompras;Dealer
CuentasCompras;Cuenta
CuentaUsuario;Token
CuentaUsuario;Usuario
CuentaVenta;CodPais
CuentaVenta;Dealer
CuentaVenta;Tda
CuentaVenta;Tipo
CuentaVenta;Cliente
CuentaVentaLinea;CodPais
CuentaVentaLinea;Dealer
CuentaVentaLinea;Tda
CuentaVentaLinea;Linea
CUOTAS;CodPais
CUOTAS;Dealer
CUOTAS;CodAlumno
CUOTAS;AnioElectivo
CUOTAS;CodMes
CuotasP;CodCuota
CuotasP;CodCredito
CuotasRegimen;CodPais
CuotasRegimen;Dealer
CuotasRegimen;CodRegimen
CuotasRegimen;CodNivel
Cupon;CodPais
Cupon;Dealer
Cupon;CuponNo
CxpEdoCta;CodPais
CxpEdoCta;Dealer
CxpEdoCta;Proveedor
CxpEdoCta;FacturaNo
CxpEdoCta;Fecha
CxpEdoCta;Referencia
CxpEdoCta;id
DataView;Seq
DatoCartaBanco;CodPais
DatoCartaBanco;Dealer
DatoCartaBanco;Referencia
DatoCartaBanco;Cheque
DatoCartaBanco;ComisionEmpleado
DatoEmpleador;CodPais
DatoEmpleador;Dealer
DatoEmpleador;CdCosto
DatoFamilia;CodPais
DatoFamilia;Dealer
DatoFamilia;SolicitudNo
DatoFamilia;Nombre
DatosCartaBanco;CodPais
DatosCartaBanco;Dealer
DatosCartaBanco;Referencia
DatosCartaBanco;Cheque
DatosCartaBanco;ComisionEmpleado
DatoSolicitud;CodPais
DatoSolicitud;Dealer
DatoSolicitud;Solicitud
dbo.DetGastoIndirecto;CodPais
dbo.DetGastoIndirecto;Dealer
dbo.DetGastoIndirecto;Fecha
dbo.DetGastoIndirecto;Tipo
DDE;CodPais
DDE;Dealer
DDE;Service
DDL;ID
Dealer;CodPais
Dealer;Codigo
DeclarcionSalud;CodPais
DeclarcionSalud;Dealer
DeclarcionSalud;Empleado
DeclSalud;CodPais
DeclSalud;Dealer
DeclSalud;Empleado
DefectoPersonal;CodPais
DefectoPersonal;Dealer
DefectoPersonal;SolicitudNo
DefectoPersonal;Padecimiento
Deficiencia;CodPais
Deficiencia;Dealer
Deficiencia;IdReciboCafe
Deficiencia;IdTipoDeficiencia
Depart;CodPais
Depart;Dealer
Depart;Depart
DepContrato;CodPais
DepContrato;Dealer
DepContrato;Contrato
DepContrato;Nombre
DepContrato;FechaNacimiento
Dependencia;CodPais
Dependencia;Dealer
Dependencia;Codigo
DepNomina;CodPais
DepNomina;Dealer
DepNomina;Codigo
DepositoBanco;CodPais
DepositoBanco;Dealer
DepositoBanco;Banco
DepositoPlanilla;Codpais
DepositoPlanilla;Dealer
DepositoPlanilla;Codigo
DepreciacionAF;CodPais
DepreciacionAF;Dealer
DepreciacionAF;Ubicacion
DepreciacionAF;Codigo
DepreciacionAF;Fecha_aplicacion
DepreciacionAF;Tipo
DepSegColectivo;CodPais
DepSegColectivo;Dealer
DepSegColectivo;CodigoEmpleado
DepSegColectivo;Corr
DepSegMedico;CodPais
DepSegMedico;Dealer
DepSegMedico;CodigoEmpleado
DepSegMedico;Corr
DepSolicitud;CodPais
DepSolicitud;Dealer
DepSolicitud;SolicitudNo
DepSolicitud;Nombre
DeptoEmpCafeteria;CodPais
DeptoEmpCafeteria;Dealer
DeptoEmpCafeteria;Empresa
DeptoEmpCafeteria;Departamento
Derecho;GrupoCliente
Derecho;Codigo
Derecho;Programa
DescServicio;CodPais
DescServicio;Dealer
DescServicio;Tda
DescServicio;id
DescuentoPermanente;CodPais
DescuentoPermanente;Dealer
DescuentoPermanente;Empleado
